time,measure
1713840519.1320782,"b'_y:-0.10, acce_z:-0.94\r\n'"
1713840519.134335,b'\x1b[0m\r\n'
1713840519.137054,"b'\x1b[0;32mI (509575) mpu6050 test: gyro_x:-0.63, gyro_y:0.49, gyro_z:-0.43\r\n'"
1713840519.1372092,b'\x1b[0m\r\n'
1713840519.1427,"b'\x1b[0;32mI (509585) mpu6050 test: acce_x:0.38, acce_y:-0.11, acce_z:-0.94\r\n'"
1713840519.1427379,b'\x1b[0m\r\n'
1713840519.15364,"b'\x1b[0;32mI (509585) mpu6050 test: gyro_x:-0.52, gyro_y:0.26, gyro_z:-0.64\r\n'"
1713840519.1537752,b'\x1b[0m\r\n'
1713840519.15928,"b'\x1b[0;32mI (509595) mpu6050 test: acce_x:0.39, acce_y:-0.10, acce_z:-0.95\r\n'"
1713840519.159331,b'\x1b[0m\r\n'
1713840519.1650062,"b'\x1b[0;32mI (509605) mpu6050 test: gyro_x:-0.73, gyro_y:0.79, gyro_z:-0.89\r\n'"
1713840519.165042,b'\x1b[0m\r\n'
1713840519.170356,"b'\x1b[0;32mI (509605) mpu6050 test: acce_x:0.39, acce_y:-0.11, acce_z:-0.95\r\n'"
1713840519.170384,b'\x1b[0m\r\n'
1713840519.181355,"b'\x1b[0;32mI (509615) mpu6050 test: gyro_x:-0.49, gyro_y:0.92, gyro_z:-1.02\r\n'"
1713840519.1813812,b'\x1b[0m\r\n'
1713840519.186889,"b'\x1b[0;32mI (509625) mpu6050 test: acce_x:0.38, acce_y:-0.10, acce_z:-0.94\r\n'"
1713840519.1869152,b'\x1b[0m\r\n'
1713840519.192395,"b'\x1b[0;32mI (509625) mpu6050 test: gyro_x:-0.09, gyro_y:1.25, gyro_z:-1.30\r\n'"
1713840519.1924212,b'\x1b[0m\r\n'
1713840519.1985111,"b'\x1b[0;32mI (509635) mpu6050 test: acce_x:0.38, acce_y:-0.11, acce_z:-0.93\r\n'"
1713840519.198547,b'\x1b[0m\r\n'
1713840519.203773,"b'\x1b[0;32mI (509645) mpu6050 test: gyro_x:0.20, gyro_y:1.40, gyro_z:-1.71\r\n'"
1713840519.208946,b'\x1b[0m\r\n'
1713840519.214805,"b'\x1b[0;32mI (509645) mpu6050 test: acce_x:0.39, acce_y:-0.11, acce_z:-0.93\r\n'"
1713840519.21485,b'\x1b[0m\r\n'
1713840519.220317,"b'\x1b[0;32mI (509655) mpu6050 test: gyro_x:-0.08, gyro_y:1.47, gyro_z:-1.83\r\n'"
1713840519.2203488,b'\x1b[0m\r\n'
1713840519.2257862,"b'\x1b[0;32mI (509665) mpu6050 test: acce_x:0.39, acce_y:-0.11, acce_z:-0.95\r\n'"
1713840519.2258189,b'\x1b[0m\r\n'
1713840519.2315788,"b'\x1b[0;32mI (509665) mpu6050 test: gyro_x:-0.20, gyro_y:1.42, gyro_z:-1.86\r\n'"
1713840519.2316082,b'\x1b[0m\r\n'
1713840519.242392,"b'\x1b[0;32mI (509675) mpu6050 test: acce_x:0.38, acce_y:-0.11, acce_z:-0.95\r\n'"
1713840519.24243,b'\x1b[0m\r\n'
