time,measure
1713405781.046947,"b'0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.0483541,b'\x1b[0m\r\n'
1713405781.0517938,"b'\x1b[0;32mI (353395) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.0518231,b'\x1b[0m\r\n'
1713405781.057419,b'\x1b[0;31mE (353405) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.063118,"b'\x1b[0;32mI (353405) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.068306,b'\x1b[0m\r\n'
1713405781.07391,"b'\x1b[0;32mI (353415) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.073938,b'\x1b[0m\r\n'
1713405781.07985,b'\x1b[0;31mE (353425) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.085162,"b'\x1b[0;32mI (353425) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.085193,b'\x1b[0m\r\n'
1713405781.0906649,"b'\x1b[0;32mI (353435) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.0906959,b'\x1b[0m\r\n'
1713405781.096396,b'\x1b[0;31mE (353445) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.101978,"b'\x1b[0;32mI (353445) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.107125,b'\x1b[0m\r\n'
1713405781.112897,"b'\x1b[0;32mI (353455) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.112936,b'\x1b[0m\r\n'
1713405781.1184409,b'\x1b[0;31mE (353455) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.123908,"b'\x1b[0;32mI (353465) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.123945,b'\x1b[0m\r\n'
1713405781.129823,"b'\x1b[0;32mI (353475) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.1298602,b'\x1b[0m\r\n'
1713405781.1353338,b'\x1b[0;31mE (353475) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.140737,"b'\x1b[0;32mI (353485) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.1461802,b'\x1b[0m\r\n'
1713405781.151736,"b'\x1b[0;32mI (353495) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.151778,b'\x1b[0m\r\n'
1713405781.1573172,b'\x1b[0;31mE (353495) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.163024,"b'\x1b[0;32mI (353505) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.1630652,b'\x1b[0m\r\n'
1713405781.168642,"b'\x1b[0;32mI (353515) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.168691,b'\x1b[0m\r\n'
1713405781.17415,b'\x1b[0;31mE (353515) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.179934,"b'\x1b[0;32mI (353525) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.18506,b'\x1b[0m\r\n'
1713405781.1906571,"b'\x1b[0;32mI (353535) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.1907048,b'\x1b[0m\r\n'
1713405781.196453,b'\x1b[0;31mE (353535) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.201851,"b'\x1b[0;32mI (353545) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.201899,b'\x1b[0m\r\n'
1713405781.207392,"b'\x1b[0;32mI (353555) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.20744,b'\x1b[0m\r\n'
1713405781.2133539,b'\x1b[0;31mE (353555) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.218786,"b'\x1b[0;32mI (353565) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.2238789,b'\x1b[0m\r\n'
1713405781.229583,"b'\x1b[0;32mI (353575) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.2296388,b'\x1b[0m\r\n'
1713405781.23514,b'\x1b[0;31mE (353575) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.240709,"b'\x1b[0;32mI (353585) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.240777,b'\x1b[0m\r\n'
1713405781.246686,"b'\x1b[0;32mI (353585) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.246754,b'\x1b[0m\r\n'
1713405781.2521641,b'\x1b[0;31mE (353595) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.25772,"b'\x1b[0;32mI (353605) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.2629561,b'\x1b[0m\r\n'
1713405781.268515,"b'\x1b[0;32mI (353605) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.2686012,b'\x1b[0m\r\n'
1713405781.274057,b'\x1b[0;31mE (353615) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.279914,"b'\x1b[0;32mI (353625) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.280065,b'\x1b[0m\r\n'
1713405781.285367,"b'\x1b[0;32mI (353625) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.285442,b'\x1b[0m\r\n'
1713405781.290991,b'\x1b[0;31mE (353635) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.2970529,"b'\x1b[0;32mI (353645) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.3016808,b'\x1b[0m\r\n'
1713405781.307379,"b'\x1b[0;32mI (353645) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.307513,b'\x1b[0m\r\n'
1713405781.3132758,b'\x1b[0;31mE (353655) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.318961,"b'\x1b[0;32mI (353655) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.319099,b'\x1b[0m\r\n'
1713405781.324623,"b'\x1b[0;32mI (353665) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.3247628,b'\x1b[0m\r\n'
1713405781.330824,b'\x1b[0;31mE (353675) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.3359559,"b'\x1b[0;32mI (353675) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.340693,b'\x1b[0m\r\n'
1713405781.3464231,"b'\x1b[0;32mI (353685) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.3465579,b'\x1b[0m\r\n'
1713405781.3519769,b'\x1b[0;31mE (353695) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.357683,"b'\x1b[0;32mI (353695) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.357795,b'\x1b[0m\r\n'
1713405781.363734,"b'\x1b[0;32mI (353705) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.363882,b'\x1b[0m\r\n'
1713405781.369302,b'\x1b[0;31mE (353715) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.3748858,"b'\x1b[0;32mI (353715) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.379618,b'\x1b[0m\r\n'
1713405781.385221,"b'\x1b[0;32mI (353725) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.3853571,b'\x1b[0m\r\n'
1713405781.390941,b'\x1b[0;31mE (353735) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.3965309,"b'\x1b[0;32mI (353735) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.396645,b'\x1b[0m\r\n'
1713405781.402571,"b'\x1b[0;32mI (353745) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.402709,b'\x1b[0m\r\n'
1713405781.408109,b'\x1b[0;31mE (353755) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.414003,"b'\x1b[0;32mI (353755) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.418405,b'\x1b[0m\r\n'
1713405781.424072,"b'\x1b[0;32mI (353765) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.424204,b'\x1b[0m\r\n'
1713405781.429918,b'\x1b[0;31mE (353775) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.435533,"b'\x1b[0;32mI (353775) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.435698,b'\x1b[0m\r\n'
1713405781.441237,"b'\x1b[0;32mI (353785) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.441368,b'\x1b[0m\r\n'
1713405781.447135,b'\x1b[0;31mE (353795) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.4527948,"b'\x1b[0;32mI (353795) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.45739,b'\x1b[0m\r\n'
1713405781.463171,"b'\x1b[0;32mI (353805) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.463308,b'\x1b[0m\r\n'
1713405781.468968,b'\x1b[0;31mE (353805) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.474289,"b'\x1b[0;32mI (353815) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.474763,b'\x1b[0m\r\n'
1713405781.480163,"b'\x1b[0;32mI (353825) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.480265,b'\x1b[0m\r\n'
1713405781.486049,b'\x1b[0;31mE (353825) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.491541,"b'\x1b[0;32mI (353835) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.496299,b'\x1b[0m\r\n'
1713405781.501685,"b'\x1b[0;32mI (353845) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.5017521,b'\x1b[0m\r\n'
1713405781.5081038,b'\x1b[0;31mE (353845) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.5136042,"b'\x1b[0;32mI (353855) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.513749,b'\x1b[0m\r\n'
1713405781.519134,"b'\x1b[0;32mI (353865) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.5192719,b'\x1b[0m\r\n'
1713405781.524775,b'\x1b[0;31mE (353865) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.530603,"b'\x1b[0;32mI (353875) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.5350451,b'\x1b[0m\r\n'
1713405781.540673,"b'\x1b[0;32mI (353885) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.540809,b'\x1b[0m\r\n'
1713405781.546299,b'\x1b[0;31mE (353885) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.552171,"b'\x1b[0;32mI (353895) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.552304,b'\x1b[0m\r\n'
1713405781.557872,"b'\x1b[0;32mI (353905) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.558004,b'\x1b[0m\r\n'
1713405781.563655,b'\x1b[0;31mE (353905) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.56944,"b'\x1b[0;32mI (353915) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.573869,b'\x1b[0m\r\n'
1713405781.579705,"b'\x1b[0;32mI (353925) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.579888,b'\x1b[0m\r\n'
1713405781.585381,b'\x1b[0;31mE (353925) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.59096,"b'\x1b[0;32mI (353935) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.591093,b'\x1b[0m\r\n'
1713405781.596975,"b'\x1b[0;32mI (353935) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.597106,b'\x1b[0m\r\n'
1713405781.602658,b'\x1b[0;31mE (353945) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.6082208,"b'\x1b[0;32mI (353955) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.612898,b'\x1b[0m\r\n'
1713405781.618813,"b'\x1b[0;32mI (353955) mpu6050 test: gyro_x:0.00, gyro_y:0.00, gyro_z:0.00\r\n'"
1713405781.618918,b'\x1b[0m\r\n'
1713405781.6240928,b'\x1b[0;31mE (353965) mpu6050 test: Failed to get accelerometer data\x1b[0m\r\n'
1713405781.6297789,"b'\x1b[0;32mI (353975) mpu6050 test: acce_x:0.00, acce_y:0.00, acce_z:0.00\r\n'"
1713405781.6298509,b'\x1b[0m\r\n'
