time,measure
1713844006.279468,"b' (2175675) mpu6050 test: gyro_x:-1.04, gyro_y:-1.56, gyro_z:0.96\r\n'"
1713844006.281091,b'\x1b[0m\r\n'
1713844006.284526,"b'\x1b[0;32mI (2175675) mpu6050 test: acce_x:0.23, acce_y:-0.23, acce_z:-0.97\r\n'"
1713844006.284557,b'\x1b[0m\r\n'
1713844006.2903838,"b'\x1b[0;32mI (2175685) mpu6050 test: gyro_x:-1.04, gyro_y:-1.13, gyro_z:0.69\r\n'"
1713844006.290454,b'\x1b[0m\r\n'
1713844006.295769,"b'\x1b[0;32mI (2175695) mpu6050 test: acce_x:0.22, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.2958,b'\x1b[0m\r\n'
1713844006.3068118,"b'\x1b[0;32mI (2175695) mpu6050 test: gyro_x:-1.04, gyro_y:-1.04, gyro_z:0.27\r\n'"
1713844006.306848,b'\x1b[0m\r\n'
1713844006.312306,"b'\x1b[0;32mI (2175705) mpu6050 test: acce_x:0.22, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.31234,b'\x1b[0m\r\n'
1713844006.317754,"b'\x1b[0;32mI (2175715) mpu6050 test: gyro_x:-0.99, gyro_y:-0.73, gyro_z:-0.06\r\n'"
1713844006.317792,b'\x1b[0m\r\n'
1713844006.323672,"b'\x1b[0;32mI (2175715) mpu6050 test: acce_x:0.22, acce_y:-0.24, acce_z:-0.96\r\n'"
1713844006.323715,b'\x1b[0m\r\n'
1713844006.334409,"b'\x1b[0;32mI (2175725) mpu6050 test: gyro_x:-1.21, gyro_y:-0.63, gyro_z:-0.20\r\n'"
1713844006.334444,b'\x1b[0m\r\n'
1713844006.340149,"b'\x1b[0;32mI (2175735) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.97\r\n'"
1713844006.340183,b'\x1b[0m\r\n'
1713844006.3456671,"b'\x1b[0;32mI (2175735) mpu6050 test: gyro_x:-1.24, gyro_y:-0.50, gyro_z:-0.69\r\n'"
1713844006.3457081,b'\x1b[0m\r\n'
1713844006.351263,"b'\x1b[0;32mI (2175745) mpu6050 test: acce_x:0.22, acce_y:-0.24, acce_z:-0.97\r\n'"
1713844006.351304,b'\x1b[0m\r\n'
1713844006.3623118,"b'\x1b[0;32mI (2175755) mpu6050 test: gyro_x:-1.07, gyro_y:-0.17, gyro_z:-0.76\r\n'"
1713844006.3623521,b'\x1b[0m\r\n'
1713844006.367863,"b'\x1b[0;32mI (2175765) mpu6050 test: acce_x:0.22, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.3679008,b'\x1b[0m\r\n'
1713844006.373613,"b'\x1b[0;32mI (2175765) mpu6050 test: gyro_x:-1.21, gyro_y:-0.12, gyro_z:-1.15\r\n'"
1713844006.373651,b'\x1b[0m\r\n'
1713844006.3792691,"b'\x1b[0;32mI (2175775) mpu6050 test: acce_x:0.22, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.379307,b'\x1b[0m\r\n'
1713844006.3901818,"b'\x1b[0;32mI (2175785) mpu6050 test: gyro_x:-1.30, gyro_y:0.06, gyro_z:-1.04\r\n'"
1713844006.390224,b'\x1b[0m\r\n'
1713844006.39571,"b'\x1b[0;32mI (2175785) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.97\r\n'"
1713844006.395751,b'\x1b[0m\r\n'
1713844006.4012501,"b'\x1b[0;32mI (2175795) mpu6050 test: gyro_x:-1.34, gyro_y:0.76, gyro_z:-1.44\r\n'"
1713844006.401293,b'\x1b[0m\r\n'
1713844006.4071329,"b'\x1b[0;32mI (2175805) mpu6050 test: acce_x:0.22, acce_y:-0.24, acce_z:-0.96\r\n'"
1713844006.407179,b'\x1b[0m\r\n'
1713844006.417706,"b'\x1b[0;32mI (2175805) mpu6050 test: gyro_x:-1.28, gyro_y:1.31, gyro_z:-1.57\r\n'"
1713844006.4177458,b'\x1b[0m\r\n'
1713844006.423522,"b'\x1b[0;32mI (2175815) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.97\r\n'"
1713844006.423557,b'\x1b[0m\r\n'
1713844006.42901,"b'\x1b[0;32mI (2175825) mpu6050 test: gyro_x:-1.27, gyro_y:1.34, gyro_z:-1.31\r\n'"
1713844006.429044,b'\x1b[0m\r\n'
1713844006.434561,"b'\x1b[0;32mI (2175835) mpu6050 test: acce_x:0.22, acce_y:-0.23, acce_z:-0.97\r\n'"
1713844006.434592,b'\x1b[0m\r\n'
1713844006.445527,"b'\x1b[0;32mI (2175835) mpu6050 test: gyro_x:-1.37, gyro_y:2.05, gyro_z:-1.47\r\n'"
1713844006.445554,b'\x1b[0m\r\n'
1713844006.451095,"b'\x1b[0;32mI (2175845) mpu6050 test: acce_x:0.21, acce_y:-0.24, acce_z:-0.97\r\n'"
1713844006.4511209,b'\x1b[0m\r\n'
1713844006.456841,"b'\x1b[0;32mI (2175855) mpu6050 test: gyro_x:-1.30, gyro_y:2.52, gyro_z:-1.51\r\n'"
1713844006.456865,b'\x1b[0m\r\n'
1713844006.4624078,"b'\x1b[0;32mI (2175855) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.462433,b'\x1b[0m\r\n'
1713844006.473429,"b'\x1b[0;32mI (2175865) mpu6050 test: gyro_x:-1.48, gyro_y:3.24, gyro_z:-1.68\r\n'"
1713844006.473454,b'\x1b[0m\r\n'
1713844006.478903,"b'\x1b[0;32mI (2175875) mpu6050 test: acce_x:0.21, acce_y:-0.24, acce_z:-0.97\r\n'"
1713844006.4789262,b'\x1b[0m\r\n'
1713844006.48445,"b'\x1b[0;32mI (2175875) mpu6050 test: gyro_x:-1.62, gyro_y:3.92, gyro_z:-1.74\r\n'"
1713844006.4844759,b'\x1b[0m\r\n'
1713844006.490268,"b'\x1b[0;32mI (2175885) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.490293,b'\x1b[0m\r\n'
1713844006.5009952,"b'\x1b[0;32mI (2175895) mpu6050 test: gyro_x:-1.95, gyro_y:4.55, gyro_z:-1.57\r\n'"
1713844006.501021,b'\x1b[0m\r\n'
1713844006.506824,"b'\x1b[0;32mI (2175895) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.97\r\n'"
1713844006.506848,b'\x1b[0m\r\n'
1713844006.5124218,"b'\x1b[0;32mI (2175905) mpu6050 test: gyro_x:-2.53, gyro_y:5.50, gyro_z:-1.73\r\n'"
1713844006.512446,b'\x1b[0m\r\n'
1713844006.517945,"b'\x1b[0;32mI (2175915) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.97\r\n'"
1713844006.5179782,b'\x1b[0m\r\n'
1713844006.528953,"b'\x1b[0;32mI (2175925) mpu6050 test: gyro_x:-2.82, gyro_y:5.95, gyro_z:-1.63\r\n'"
1713844006.528976,b'\x1b[0m\r\n'
1713844006.534409,"b'\x1b[0;32mI (2175925) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.53444,b'\x1b[0m\r\n'
1713844006.5402088,"b'\x1b[0;32mI (2175935) mpu6050 test: gyro_x:-3.22, gyro_y:6.81, gyro_z:-1.54\r\n'"
1713844006.540233,b'\x1b[0m\r\n'
1713844006.545723,"b'\x1b[0;32mI (2175945) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.545747,b'\x1b[0m\r\n'
1713844006.556891,"b'\x1b[0;32mI (2175945) mpu6050 test: gyro_x:-3.66, gyro_y:7.59, gyro_z:-1.59\r\n'"
1713844006.556919,b'\x1b[0m\r\n'
1713844006.562347,"b'\x1b[0;32mI (2175955) mpu6050 test: acce_x:0.21, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.5623722,b'\x1b[0m\r\n'
1713844006.567821,"b'\x1b[0;32mI (2175965) mpu6050 test: gyro_x:-4.08, gyro_y:8.34, gyro_z:-1.33\r\n'"
1713844006.567845,b'\x1b[0m\r\n'
1713844006.57356,"b'\x1b[0;32mI (2175965) mpu6050 test: acce_x:0.21, acce_y:-0.24, acce_z:-0.96\r\n'"
1713844006.5735848,b'\x1b[0m\r\n'
1713844006.584411,"b'\x1b[0;32mI (2175975) mpu6050 test: gyro_x:-4.23, gyro_y:9.40, gyro_z:-1.11\r\n'"
1713844006.584436,b'\x1b[0m\r\n'
1713844006.5901718,"b'\x1b[0;32mI (2175985) mpu6050 test: acce_x:0.21, acce_y:-0.24, acce_z:-0.96\r\n'"
1713844006.590199,b'\x1b[0m\r\n'
1713844006.595764,"b'\x1b[0;32mI (2175995) mpu6050 test: gyro_x:-5.01, gyro_y:10.35, gyro_z:-0.75\r\n'"
1713844006.595787,b'\x1b[0m\r\n'
1713844006.6011689,"b'\x1b[0;32mI (2175995) mpu6050 test: acce_x:0.21, acce_y:-0.24, acce_z:-0.96\r\n'"
1713844006.601192,b'\x1b[0m\r\n'
1713844006.6122491,"b'\x1b[0;32mI (2176005) mpu6050 test: gyro_x:-5.66, gyro_y:11.57, gyro_z:-0.40\r\n'"
1713844006.612274,b'\x1b[0m\r\n'
1713844006.617764,"b'\x1b[0;32mI (2176015) mpu6050 test: acce_x:0.21, acce_y:-0.24, acce_z:-0.97\r\n'"
1713844006.617789,b'\x1b[0m\r\n'
1713844006.6235409,"b'\x1b[0;32mI (2176015) mpu6050 test: gyro_x:-6.50, gyro_y:12.69, gyro_z:0.21\r\n'"
1713844006.6235662,b'\x1b[0m\r\n'
1713844006.62903,"b'\x1b[0;32mI (2176025) mpu6050 test: acce_x:0.21, acce_y:-0.25, acce_z:-0.96\r\n'"
1713844006.629054,b'\x1b[0m\r\n'
1713844006.640081,"b'\x1b[0;32mI (2176035) mpu6050 test: gyro_x:-7.27, gyro_y:14.08, gyro_z:0.84\r\n'"
1713844006.6401038,b'\x1b[0m\r\n'
1713844006.6456,"b'\x1b[0;32mI (2176035) mpu6050 test: acce_x:0.20, acce_y:-0.25, acce_z:-0.96\r\n'"
1713844006.645623,b'\x1b[0m\r\n'
1713844006.651124,"b'\x1b[0;32mI (2176045) mpu6050 test: gyro_x:-8.60, gyro_y:15.92, gyro_z:1.44\r\n'"
1713844006.651156,b'\x1b[0m\r\n'
1713844006.656953,"b'\x1b[0;32mI (2176055) mpu6050 test: acce_x:0.19, acce_y:-0.26, acce_z:-0.96\r\n'"
1713844006.656977,b'\x1b[0m\r\n'
1713844006.667679,"b'\x1b[0;32mI (2176055) mpu6050 test: gyro_x:-10.24, gyro_y:17.79, gyro_z:2.27\r\n'"
1713844006.667707,b'\x1b[0m\r\n'
1713844006.673447,"b'\x1b[0;32mI (2176065) mpu6050 test: acce_x:0.19, acce_y:-0.26, acce_z:-0.96\r\n'"
1713844006.673472,b'\x1b[0m\r\n'
1713844006.679004,"b'\x1b[0;32mI (2176075) mpu6050 test: gyro_x:-12.05, gyro_y:20.29, gyro_z:2.82\r\n'"
1713844006.679033,b'\x1b[0m\r\n'
1713844006.6844869,"b'\x1b[0;32mI (2176085) mpu6050 test: acce_x:0.18, acce_y:-0.26, acce_z:-0.96\r\n'"
1713844006.69004,b'\x1b[0m\r\n'
1713844006.6955829,"b'\x1b[0;32mI (2176085) mpu6050 test: gyro_x:-14.00, gyro_y:23.01, gyro_z:3.36\r\n'"
1713844006.69561,b'\x1b[0m\r\n'
1713844006.7011552,"b'\x1b[0;32mI (2176095) mpu6050 test: acce_x:0.19, acce_y:-0.26, acce_z:-0.97\r\n'"
1713844006.701182,b'\x1b[0m\r\n'
1713844006.706964,"b'\x1b[0;32mI (2176105) mpu6050 test: gyro_x:-15.92, gyro_y:26.61, gyro_z:3.27\r\n'"
1713844006.7069938,b'\x1b[0m\r\n'
1713844006.71242,"b'\x1b[0;32mI (2176105) mpu6050 test: acce_x:0.18, acce_y:-0.25, acce_z:-0.96\r\n'"
1713844006.71767,b'\x1b[0m\r\n'
1713844006.723501,"b'\x1b[0;32mI (2176115) mpu6050 test: gyro_x:-17.53, gyro_y:30.90, gyro_z:3.33\r\n'"
1713844006.723534,b'\x1b[0m\r\n'
1713844006.728987,"b'\x1b[0;32mI (2176125) mpu6050 test: acce_x:0.18, acce_y:-0.23, acce_z:-0.96\r\n'"
1713844006.729019,b'\x1b[0m\r\n'
1713844006.7345102,"b'\x1b[0;32mI (2176125) mpu6050 test: gyro_x:-18.61, gyro_y:35.83, gyro_z:3.01\r\n'"
1713844006.734543,b'\x1b[0m\r\n'
1713844006.74037,"b'\x1b[0;32mI (2176135) mpu6050 test: acce_x:0.19, acce_y:-0.22, acce_z:-0.96\r\n'"
1713844006.745586,b'\x1b[0m\r\n'
1713844006.751127,"b'\x1b[0;32mI (2176145) mpu6050 test: gyro_x:-19.11, gyro_y:41.04, gyro_z:1.85\r\n'"
1713844006.751165,b'\x1b[0m\r\n'
1713844006.756893,"b'\x1b[0;32mI (2176155) mpu6050 test: acce_x:0.19, acce_y:-0.20, acce_z:-0.95\r\n'"
1713844006.75693,b'\x1b[0m\r\n'
1713844006.762447,"b'\x1b[0;32mI (2176155) mpu6050 test: gyro_x:-18.73, gyro_y:46.66, gyro_z:0.70\r\n'"
1713844006.762483,b'\x1b[0m\r\n'
1713844006.773412,"b'\x1b[0;32mI (2176165) mpu6050 test: acce_x:0.21, acce_y:-0.19, acce_z:-0.95\r\n'"
1713844006.7734559,b'\x1b[0m\r\n'
1713844006.778999,"b'\x1b[0;32mI (2176175) mpu6050 test: gyro_x:-17.53, gyro_y:51.88, gyro_z:-0.81\r\n'"
1713844006.779041,b'\x1b[0m\r\n'
1713844006.784555,"b'\x1b[0;32mI (2176175) mpu6050 test: acce_x:0.22, acce_y:-0.16, acce_z:-0.95\r\n'"
1713844006.784596,b'\x1b[0m\r\n'
1713844006.790467,"b'\x1b[0;32mI (2176185) mpu6050 test: gyro_x:-15.77, gyro_y:56.64, gyro_z:-2.66\r\n'"
1713844006.790514,b'\x1b[0m\r\n'
1713844006.8010812,"b'\x1b[0;32mI (2176195) mpu6050 test: acce_x:0.25, acce_y:-0.14, acce_z:-0.95\r\n'"
1713844006.801132,b'\x1b[0m\r\n'
1713844006.806908,"b'\x1b[0;32mI (2176195) mpu6050 test: gyro_x:-12.72, gyro_y:60.96, gyro_z:-4.46\r\n'"
1713844006.806956,b'\x1b[0m\r\n'
1713844006.812547,"b'\x1b[0;32mI (2176205) mpu6050 test: acce_x:0.28, acce_y:-0.14, acce_z:-0.95\r\n'"
1713844006.812602,b'\x1b[0m\r\n'
1713844006.8180852,"b'\x1b[0;32mI (2176215) mpu6050 test: gyro_x:-9.57, gyro_y:64.24, gyro_z:-6.06\r\n'"
1713844006.818141,b'\x1b[0m\r\n'
1713844006.829033,"b'\x1b[0;32mI (2176225) mpu6050 test: acce_x:0.31, acce_y:-0.13, acce_z:-0.93\r\n'"
1713844006.829089,b'\x1b[0m\r\n'
1713844006.8345962,"b'\x1b[0;32mI (2176225) mpu6050 test: gyro_x:-6.53, gyro_y:66.64, gyro_z:-7.45\r\n'"
1713844006.834653,b'\x1b[0m\r\n'
1713844006.840544,"b'\x1b[0;32mI (2176235) mpu6050 test: acce_x:0.33, acce_y:-0.13, acce_z:-0.92\r\n'"
1713844006.8406131,b'\x1b[0m\r\n'
1713844006.846097,"b'\x1b[0;32mI (2176245) mpu6050 test: gyro_x:-4.44, gyro_y:67.48, gyro_z:-8.24\r\n'"
1713844006.846165,b'\x1b[0m\r\n'
