time,measure
1713846031.870624,"b'o_x:1.15, gyro_y:-4.40, gyro_z:-3.71\r\n'"
1713846031.872322,b'\x1b[0m\r\n'
1713846031.87553,"b'\x1b[0;32mI (4201275) mpu6050 test: acce_x:0.54, acce_y:-0.19, acce_z:-0.85\r\n'"
1713846031.875566,b'\x1b[0m\r\n'
1713846031.886585,"b'\x1b[0;32mI (4201285) mpu6050 test: gyro_x:1.85, gyro_y:-4.58, gyro_z:-4.31\r\n'"
1713846031.8866508,b'\x1b[0m\r\n'
1713846031.892052,"b'\x1b[0;32mI (4201295) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846031.8920891,b'\x1b[0m\r\n'
1713846031.897673,"b'\x1b[0;32mI (4201295) mpu6050 test: gyro_x:2.75, gyro_y:-4.34, gyro_z:-5.59\r\n'"
1713846031.89771,b'\x1b[0m\r\n'
1713846031.903454,"b'\x1b[0;32mI (4201305) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846031.903494,b'\x1b[0m\r\n'
1713846031.9142542,"b'\x1b[0;32mI (4201315) mpu6050 test: gyro_x:4.29, gyro_y:-4.56, gyro_z:-6.87\r\n'"
1713846031.914305,b'\x1b[0m\r\n'
1713846031.919981,"b'\x1b[0;32mI (4201325) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.87\r\n'"
1713846031.920018,b'\x1b[0m\r\n'
1713846031.925457,"b'\x1b[0;32mI (4201325) mpu6050 test: gyro_x:5.76, gyro_y:-5.40, gyro_z:-8.85\r\n'"
1713846031.925494,b'\x1b[0m\r\n'
1713846031.931087,"b'\x1b[0;32mI (4201335) mpu6050 test: acce_x:0.54, acce_y:-0.19, acce_z:-0.85\r\n'"
1713846031.9311302,b'\x1b[0m\r\n'
1713846031.94223,"b'\x1b[0;32mI (4201345) mpu6050 test: gyro_x:6.58, gyro_y:-6.38, gyro_z:-11.15\r\n'"
1713846031.942272,b'\x1b[0m\r\n'
1713846031.9479182,"b'\x1b[0;32mI (4201345) mpu6050 test: acce_x:0.55, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846031.947953,b'\x1b[0m\r\n'
1713846031.953291,"b'\x1b[0;32mI (4201355) mpu6050 test: gyro_x:7.54, gyro_y:-7.18, gyro_z:-13.71\r\n'"
1713846031.953324,b'\x1b[0m\r\n'
1713846031.9588559,"b'\x1b[0;32mI (4201365) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846031.95889,b'\x1b[0m\r\n'
1713846031.969834,"b'\x1b[0;32mI (4201365) mpu6050 test: gyro_x:8.79, gyro_y:-8.52, gyro_z:-16.56\r\n'"
1713846031.9698691,b'\x1b[0m\r\n'
1713846031.975352,"b'\x1b[0;32mI (4201375) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846031.975379,b'\x1b[0m\r\n'
1713846031.980895,"b'\x1b[0;32mI (4201385) mpu6050 test: gyro_x:10.64, gyro_y:-9.47, gyro_z:-19.94\r\n'"
1713846031.98092,b'\x1b[0m\r\n'
1713846031.986645,"b'\x1b[0;32mI (4201385) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.85\r\n'"
1713846031.9919071,b'\x1b[0m\r\n'
1713846031.997428,"b'\x1b[0;32mI (4201395) mpu6050 test: gyro_x:12.15, gyro_y:-10.29, gyro_z:-23.51\r\n'"
1713846031.9974551,b'\x1b[0m\r\n'
1713846032.0032032,"b'\x1b[0;32mI (4201405) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846032.003226,b'\x1b[0m\r\n'
1713846032.008739,"b'\x1b[0;32mI (4201415) mpu6050 test: gyro_x:13.16, gyro_y:-11.16, gyro_z:-27.33\r\n'"
1713846032.0087628,b'\x1b[0m\r\n'
1713846032.019775,"b'\x1b[0;32mI (4201415) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846032.019798,b'\x1b[0m\r\n'
1713846032.02528,"b'\x1b[0;32mI (4201425) mpu6050 test: gyro_x:14.95, gyro_y:-12.60, gyro_z:-31.05\r\n'"
1713846032.0253031,b'\x1b[0m\r\n'
1713846032.030838,"b'\x1b[0;32mI (4201435) mpu6050 test: acce_x:0.54, acce_y:-0.19, acce_z:-0.86\r\n'"
1713846032.030862,b'\x1b[0m\r\n'
1713846032.036602,"b'\x1b[0;32mI (4201435) mpu6050 test: gyro_x:16.37, gyro_y:-13.51, gyro_z:-34.85\r\n'"
1713846032.036625,b'\x1b[0m\r\n'
1713846032.047418,"b'\x1b[0;32mI (4201445) mpu6050 test: acce_x:0.53, acce_y:-0.19, acce_z:-0.85\r\n'"
1713846032.047442,b'\x1b[0m\r\n'
1713846032.053183,"b'\x1b[0;32mI (4201455) mpu6050 test: gyro_x:16.90, gyro_y:-14.61, gyro_z:-37.86\r\n'"
1713846032.053209,b'\x1b[0m\r\n'
1713846032.058688,"b'\x1b[0;32mI (4201465) mpu6050 test: acce_x:0.53, acce_y:-0.19, acce_z:-0.86\r\n'"
1713846032.058711,b'\x1b[0m\r\n'
1713846032.064272,"b'\x1b[0;32mI (4201465) mpu6050 test: gyro_x:17.73, gyro_y:-15.71, gyro_z:-41.42\r\n'"
1713846032.0697799,b'\x1b[0m\r\n'
1713846032.0753012,"b'\x1b[0;32mI (4201475) mpu6050 test: acce_x:0.53, acce_y:-0.18, acce_z:-0.86\r\n'"
1713846032.0753238,b'\x1b[0m\r\n'
1713846032.080831,"b'\x1b[0;32mI (4201485) mpu6050 test: gyro_x:19.40, gyro_y:-16.93, gyro_z:-45.02\r\n'"
1713846032.080859,b'\x1b[0m\r\n'
1713846032.0865731,"b'\x1b[0;32mI (4201485) mpu6050 test: acce_x:0.52, acce_y:-0.19, acce_z:-0.86\r\n'"
1713846032.086596,b'\x1b[0m\r\n'
1713846032.097413,"b'\x1b[0;32mI (4201495) mpu6050 test: gyro_x:21.15, gyro_y:-17.56, gyro_z:-48.67\r\n'"
1713846032.097435,b'\x1b[0m\r\n'
1713846032.103188,"b'\x1b[0;32mI (4201505) mpu6050 test: acce_x:0.52, acce_y:-0.19, acce_z:-0.87\r\n'"
1713846032.103211,b'\x1b[0m\r\n'
1713846032.1087239,"b'\x1b[0;32mI (4201515) mpu6050 test: gyro_x:21.60, gyro_y:-18.37, gyro_z:-51.86\r\n'"
1713846032.108747,b'\x1b[0m\r\n'
1713846032.114251,"b'\x1b[0;32mI (4201515) mpu6050 test: acce_x:0.52, acce_y:-0.20, acce_z:-0.86\r\n'"
1713846032.1142871,b'\x1b[0m\r\n'
